

<++++Let's have some FUN++++>
P00015731A0090|72 85|acetazolamide
P00039271T0000|23 31|diazepam
P00088391A0181|87 94|antigen
P00112627A0542|183 191|fentanyl
P00136175A1137|112 113|h
P00137671A0896|91 100|indicator
P00139827A0000|100 107|estriol
P00139827A0000|21 33|pregnenolone
P00139827A0000|113 121|cortisol
P00159600A0871|98 101|SHR
P00168176A0000|140 147|acetate
P00176742T0000|42 46|role
P00188387A0975|89 91|FH
P00193088A0196|37 38|g
P00216939T0001|10 18|succimer
P00221725A0523|51 61|peroxidase
P00222827A0000|38 50|diisocyanate
P00224013A0661|107 112|group
P00232354A0286|30 37|insulin
P00300314A0132|245 257|methotrexate
P00313766A0666|125 126|p
P00321261A0104|52 73|prostaglandin F2alpha
P00321261A0104|24 40|prostaglandin E2
P00361059T0000|81 102|clobetasol propionate
P00377466A0188|34 41|hormone
P00378735A0000|224 239|chloramphenicol
P00383169A0000|93 104|apomorphine
P00420460A0291|178 179|P
P00420460A0291|167 168|r
P00425547A0000|104 114|cephalexin
P00456424A0000|52 61|clonidine
P00473229T0000|91 98|toluene
P00474064A0205|194 195|R
P00474064A0205|177 187|sufentanil
P00499588T0000|47 54|glucose
P00512215A0000|68 69|L
P00513284A0000|86 98|tetracycline
P00513284A0000|30 41|doxycycline
P00534613A0000|112 120|collagen
P00555492A1034|101 111|cimetidine
P00565314A0293|43 44|g
P00602622A0362|30 38|atropine
P00619948A0000|331 339|diazepam
P00619948A0000|373 384|propranolol
P00622556A0111|20 28|collagen
P00627129A0944|146 155|labetalol
P00646193T0000|11 20|enflurane
P00646193T0000|60 70|isoflurane
P00657551T0000|66 72|tracer
P00665053A0276|57 59|H1
P00686836A0000|147 154|vitamin
P00686836A0000|12 18|ethane
P00704675A0199|100 101|d
P00722298A0619|160 163|rho
P00748978T0000|24 40|prostaglandin E2
P00753237A0000|142 145|fig
P00753237A0000|156 157|B
P00753237A0000|568 571|fig
P00780639X0000|17 24|antigen
P00833472A0907|173 177|drug
P00833472A0907|126 137|cholesterol
P00837811A0675|15 17|MS
P00866577A0579|155 159|term
P00866577A0579|15 22|heparin
P00918965A0728|200 204|PAO2
P00920381T0000|18 26|glycogen
P00921911A0159|15 18|PGF
P00927633T0001|9 17|electron
P00947327A0000|341 354|sulfanilamide
P00947327A0000|414 424|pyrimidine
P00947327A0000|145 161|sulfamethoxazole
P00947327A0000|168 180|trimethoprim
P00947327A0000|357 368|sulfamoxole
P00947327A0000|182 185|TMP
P00959656A0250|18 22|term
P00984209A0614|46 51|group
P00985279A0493|66 67|h
P00993176A0066|138 148|hemoglobin
P00993176A0066|6 15|myoglobin
P01036714A0072|96 106|chrysotile
P01048968A0152|99 111|erythromycin
P01078982A0227|62 78|cyclophosphamide
P01082833A0000|95 107|indomethacin
P01082833A0000|109 111|IM
P01098179A0167|142 157|chloramphenicol
P01116254A0000|146 154|thallium
P01138330A0204|135 157|acetylcholine chloride
P01148868A0284|32 44|progesterone
P01150658A0683|65 72|hormone
P01156631A0658|178 179|P
P01158512T0000|20 33|dehydrogenase
P01168956A0552|186 187|h
P01168956A0552|22 26|drug
P01176905A0094|12 21|melatonin
P01241437A0152|85 93|morphine
P01248124A0281|6 17|cholesterol
P01256410T0001|30 38|molecule
P01265443A0159|11 18|glucose
P01267446A0210|52 56|acid
P01279352A0297|10 13|PAL
P01285009A0000|36 50|growth hormone
P01285807A0365|106 107|P
P01287197A0761|14 19|group
P01287197A0761|164 169|group
P01295373A0651|55 56|A
P01295373A0651|82 84|SE
P01295373A0651|147 148|p
P01302765A0999|119 121|ad
P01309910A0428|55 62|protein
P01312005A0600|189 190|A
P01312005A0600|59 63|MDP1
P01314953A1266|71 75|HAP2
P01314953A1266|79 83|HAP3
P01316680A0643|177 178|H
P01317376A0981|97 104|glucose
P01321277A0664|105 108|ros
P01321337A0318|169 170|B
P01321337A0318|262 273|calcineurin
P01324172A0880|50 54|RIM1
P01327967A0668|139 145|serine
P01331292A1425|52 67|oligonucleotide
P01333047A0404|173 179|serine
P01333317A1008|76 77|s
P01333317A1008|107 108|s
P01334428A1102|66 69|Tyr
P01334428A1102|44 51|peptide
P01346262A0377|204 211|protein
P01347664A1026|72 79|protein
P01348590A0000|149 152|CD4
P01352113A0002|44 60|nitrogen dioxide
P01370281A0461|67 74|protein
P01371275T0000|59 60|H
P01372456A0426|19 20|h
P01372456A0426|89 90|h
P01372802A1481|371 373|C3
P01372802A1481|314 316|C3
P01372802A1481|317 318|D
P01372802A1481|429 436|protein
P01372802A1481|127 128|D
P01372802A1481|124 126|C3
P01380454A0451|248 251|Myb
P01380825A0622|150 157|protein
P01383690A1023|58 61|BCR
P01384229A0175|269 272|CAT
P01386210A0293|104 107|man
P01386897A0000|154 158|CLN2
P01392012A0228|21 32|vasopressin
P01395755A1023|294 295|p
P01395755A1023|151 152|p
P01396583A0204|80 85|probe
P01398074A1081|142 146|role
P01398104A0834|71 78|protein
P01400401A0065|59 60|L
P01406630A0965|114 121|protein
P01406656A1075|194 197|ras
P01409643A0618|171 178|protein
P01410071T0000|16 25|melatonin
P01410071T0000|38 46|cortisol
P01413984A0737|65 76|cholesterol
P01413984A0737|134 141|glucose
P01418834A0987|50 51|P
P01418834A0987|45 46|H
P01418860A0797|162 171|diltiazem
P01420363T0000|15 18|AP1
P01423454A0309|126 135|indicator
P01423738A0639|173 174|h
P01426635A0496|93 102|serotonin
P01431380A0244|397 405|electron
P01436261A0145|58 68|octreotide
P01437562A0462|35 42|protein
P01446828A1088|17 21|ADH5
P01446828A1088|100 103|Sp1
P01446828A1088|105 108|AP2
P01448917A0775|311 318|protein
P01452037A0000|72 77|GAPDH
P01452037A0000|166 169|TIM
P01452703A0782|164 166|ml
P01454819A0000|69 72|NAD
P01468625A0282|19 23|LEU2
P01468625A1080|47 51|NSR1
P01469047A1606|116 123|protein
P01470243A0871|37 39|Ht
P01470243A0871|360 365|group
P01471602A0362|70 74|acid
P01473234A1001|106 110|acid
P01477021A0394|135 136|P
P01480470A0323|30 39|ionophore
P01486836A0774|161 163|T2
P01487144A0505|56 57|A
P01497582A0593|15 20|group
P01499213A0185|44 47|man
P01499616A0136|77 78|g
P01499616A0136|176 179|tip
P01505516A0928|69 83|valine residue
P01505516A0928|23 27|acid
P01505516A0928|58 65|alanine
P01506746A0476|48 52|pigs
P01511231A0085|105 113|nicotine
P01512941A0000|156 165|ofloxacin
P01512941A0000|177 188|norfloxacin
P01516829A0113|27 31|SNF2
P01516829A0460|93 97|SNF6
P01518833A0397|48 52|poly
P01526658A0454|101 102|T
P01529530T0000|77 84|ouabain
P01531632A0000|203 210|glycine
P01531632A0000|120 124|SSB1
P01532796A0107|49 53|step
P01535242A0557|114 115|h
P01541556A1040|62 69|protein
P01542565T0000|99 106|protein
P01543909A0787|51 53|Lg
P01545523A0000|88 95|protein
P01548891A0635|43 50|hormone
P01549125A0140|51 55|IAPP
P01549125A0140|42 49|insulin
P01549129A0356|140 143|Src
P01549465A0122|100 103|Ser
P01551568A1476|73 77|rpoB
P01562659A0676|69 83|amphotericin B
P01569344A0404|183 184|P
P01569945A0529|89 96|protein
P01577056A0178|69 81|theophylline
P01577056A0178|105 115|omeprazole
P01579537A0000|72 82|neurotoxin
P01585014A0000|118 119|h
P01589576A0170|164 166|ps
P01597462A0457|29 34|CDC14
P01601181A0842|24 31|protein
P01612085A0624|26 29|EPO
P01620781A0611|117 119|A3
P01620781A0611|123 125|B4
P01625527A0000|84 89|group
P01626372T0000|40 49|thymidine
P01626430A1112|30 35|RAD54
P01627830A0000|91 95|CKI1
P01629768A0131|50 54|acid
P01630569A0605|9 23|amphotericin B
P01636714A0845|161 162|h
P01637758A0532|58 63|group
P01642060A0471|13 24|application
P01645902A1462|43 46|Syn
P01646157A0414|102 112|nucleotide
P01646487A0874|102 103|T
P01646753A0336|24 29|oxide
P01648142A1170|66 69|arm
P01650524A0837|206 219|dexamethasone
P01651232A0152|101 104|UTP
P01651232A0152|90 97|mixture
P01652372A0153|141 148|protein
P01652515A0379|75 86|haloperidol
P01658375A0854|217 219|GC
P01674242A0358|338 348|furosemide
P01674242A0358|406 417|allopurinol
P01674242A0358|216 225|ofloxacin
P01674242A0358|267 277|cimetidine
P01674242A0358|151 164|roxithromycin
P01674242A0358|505 515|interferon
P01674242A0358|97 109|erythromycin
P01674242A0358|521 529|caffeine
P01674242A0358|291 302|propranolol
P01674242A0358|191 201|pefloxacin
P01674242A0358|419 430|ticlopidine
P01674817A0862|57 62|RNA14
P01675424A0991|46 47|P
P01675763A1389|45 48|CD4
P01681075A0429|8 11|min
P01694014A0716|115 116|h
P01698761A1059|113 120|histone
P01703335T0000|67 69|FK
P01708098A0922|167 169|GR
P01709486A0000|45 46|W
P01710979T0000|66 74|tyrosine
P01714452A0559|24 31|protein
P01717833A1223|73 82|forskolin
P01717833T0000|47 56|adenosine
P01721884A0962|249 252|Pol
P01721884A0962|303 304|D
P01722319A0849|177 178|N
P01723962A0165|102 103|h
